Event Name               Script
EvilBar                  : There's A Bar
FellFromNowhere          : intro
GoodBar                  : There's A Bar
HeroTut                  : afterTutorial
HeroTutEvil              : afterTutorial
RobberIntro              : robbers1
RogueTutorial            : afterTutorial
VillainTut               : afterTutorial
VillainTutGood           : afterTutorial
apprehendedGangsta       : foundGangsta
brokeAnOldLadyCurse      : Ms Pancakes Mishap
brokeUpWithPartner       : attackedPartner
brokeUpWithPartner       : supAttackedPartner
credits                  : credits
cursed                   : onAttackedWitch1
gaveSoul                 : grimResponse
goneInBar                : There's A Bar
metTheWitch              : Ms Pancakes Mishap
msPancakesMishap         : Ms Pancakes Mishap
rodeTrainFirstTime       : trainSelection
supTutIntro              : superTutIntro
HeroHQ1stEntry		 : HeroHQEntry
